"Technology","Quadrant","Maturity","Description","Product URL","AI URL","moved / no change","project Count","Customer strategic"
"Bamboo","Dev Tool","watch","Atlassian continuous integration product","https://www.atlassian.com/software/bamboo?_mid=3d70cbc3514c9939834e58b5e93de810&gclid=CObdjfnCmsECFcoBwwodIq0ALg","","n","1",""
"C++","Dev Language","invest","","http://en.wikipedia.org/wiki/C%2B%2B","http://connect/communities/sigs/cplus/pages/default.aspx","n","11","Y"
".Net","Dev Language","maintain","<quality issue> .NET Framework is a software framework developed by Microsoft that runs primarily on Microsoft Windows. It includes a large class library known as Framework Class Library (FCL) and provides language interoperability (each language can use code written in other languages) across several programming languages. (source Wikipedia)","http://www.microsoft.com/net","http://connect/communities/sigs/net/Pages/default.aspx","n","20",""
"C#","Dev Language","maintain","Microsoft programming language"," ","","n","9","Y"
"Java EE","Dev Language","maintain","Java Platform, Enterprise Edition or Java EE is Oracle's enterprise Java computing platform. The platform provides an API and runtime environment for developing and running enterprise software, including network and web services, and other large-scale, multi-tiered, scalable, reliable, and secure network applications. Java EE extends the Java Platform, Standard Edition (Java SE), providing an API for object-relational mapping, distributed and multi-tier architectures, and web services. (source Wikipedia)"," ","http://connect/Communities/SIGs/Java/Pages/default.aspx","n","12","Y"
"Java SE","Dev Language","maintain","Java Platform, Standard Edition is a widely used platform for development and deployment of portable applications for desktop and server environments. Java SE uses the object-oriented Java programming language (Source Wikipedia)"," ","http://connect/Communities/SIGs/Java/Pages/default.aspx","n","17","Y"
"Python","Dev Language","maintain","Python is a widely used general-purpose, high-level programming language. Its design philosophy emphasizes code readability, and its syntax allows programmers to express concepts in fewer lines of code than would be possible in languages such as C. (Source Wikipedia)"," ","http://connect/communities/sigs/python/Pages/default.aspx","n","13",""
"Shell Script","Dev Language","maintain",""," ","","n","16",""
"SQL","Dev Language","maintain",""," ","","n","10","Y"
"XPath","Dev Language","maintain","XPath, the XML Path Language, is a query language for selecting nodes from an XML document."," ","","n","3",""
"XSD","Dev Language","maintain",""," ","","n","4",""
"XSLT","Dev Language","maintain","XSLT (Extensible Stylesheet Language Transformations) is a language for transforming XML documents into other XML documents, or other objects such as HTML for web pages, plain text or into XSL Formatting Objects which can then be converted to PDF, PostScript and PNG.(Source Wikipedia)"," ","","n","5",""
"COM/ActiveX","Dev Language","phase out",""," ","","n","2",""
"EMITE","Dev Language","phase out","XMPP extensions"," ","","n","0",""
"Hessian","Dev Language","phase out","Binary web service protocol","http://en.wikipedia.org/wiki/Hessian_(Web_service_protocol)","","n","2",""
